TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
1,EUW1_7565751492,897,154,157,51,902,164,5,25,221,497,0,1,1,3,13,1,0,3,8,26,1,0
2,EUW1_7565549583,82,238,157,236,89,6,254,127,42,902,1,0,3,10,39,0,1,1,3,33,0,1
3,EUW1_7564803077,516,28,4,498,235,23,64,38,901,16,0,1,2,7,27,2,0,3,8,37,1,0
4,EUW1_7564368646,54,34,59,498,103,61,25,55,106,5,0,0,0,4,55,0,0,0,0,39,0,1
5,EUW1_7564332041,12,800,111,150,142,141,101,55,950,4,0,0,0,0,42,0,0,0,0,0,0,1
6,EUW1_7564297394,45,62,516,897,555,516,80,105,30,161,0,0,0,0,59,0,0,0,0,0,0,1
7,EUW1_7564257986,86,245,25,523,888,10,64,3,235,902,1,1,3,11,24,0,0,1,3,7,0,1
8,EUW1_7563685543,69,11,150,81,201,133,245,101,119,267,1,0,4,9,34,0,1,0,2,18,0,1
9,EUW1_7563605642,17,102,38,15,902,516,517,25,202,53,2,0,2,6,45,0,1,4,9,36,0,1
10,EUW1_7563553417,29,517,38,804,22,84,895,523,777,7,0,0,0,2,73,0,0,0,4,91,1,0
11,EUW1_7563345484,90,61,516,235,875,267,202,96,24,4,0,0,0,1,34,0,0,0,4,64,1,0
12,EUW1_7563297438,887,18,99,64,41,102,238,79,35,161,0,0,0,4,72,0,0,0,2,74,0,1
13,EUW1_7557583308,74,910,134,901,67,35,17,98,121,518,0,0,0,0,62,0,0,0,4,80,1,0
14,EUW1_7556939547,86,59,134,804,16,31,234,110,910,43,0,1,2,6,19,0,0,2,6,25,1,0
15,EUW1_7556673814,83,233,61,236,526,24,36,166,136,267,0,0,2,3,15,1,1,2,10,37,1,0
16,EUW1_7555701369,800,53,76,420,61,35,360,51,127,37,0,0,0,4,55,0,0,0,2,58,0,1
17,EUW1_7555467853,266,48,112,99,161,114,131,134,22,902,1,1,4,5,42,1,0,1,10,33,1,0
18,EUW1_7555421137,117,266,6,154,54,78,236,517,800,360,0,0,0,4,61,0,0,0,2,71,0,1
19,EUW1_7555375760,103,64,68,80,136,17,143,101,523,115,0,0,0,4,84,0,0,0,1,73,0,1
20,EUW1_7548453301,17,121,166,81,147,157,233,800,145,555,1,0,2,7,54,0,1,2,2,27,0,1
21,EUW1_7553283098,8,141,238,51,25,14,28,10,15,101,0,1,3,9,40,1,0,2,6,26,0,1
22,EUW1_7553208120,36,233,142,67,99,86,141,127,145,518,0,1,2,3,40,1,0,2,11,43,1,0
23,EUW1_7553133991,799,104,7,96,25,39,59,238,51,43,0,1,2,7,40,0,0,0,3,26,0,1
24,EUW1_7553062055,266,60,800,804,555,14,131,134,81,89,1,1,1,5,33,0,0,4,9,43,1,0
25,EUW1_7552972344,75,141,134,202,43,6,131,157,498,412,2,1,4,11,50,0,0,2,8,37,0,1
26,EUW1_7552908528,24,107,13,222,267,82,234,246,145,555,1,1,2,11,36,0,0,2,2,24,0,1
27,EUW1_7528258171,114,238,13,21,25,133,62,166,18,43,1,0,2,9,35,2,1,4,9,54,1,0
28,EUW1_7528230243,777,154,517,67,40,41,120,4,523,77,0,1,3,9,42,0,0,0,2,19,0,1
29,EUW1_7528202413,24,80,90,22,25,58,234,61,81,40,0,0,0,1,16,0,1,2,4,24,1,0
30,EUW1_7522738832,5,246,45,145,78,150,19,103,202,89,0,0,0,1,13,1,1,4,11,40,1,0
31,EUW1_7522700708,23,106,887,804,98,516,245,157,22,902,0,0,1,3,15,0,1,2,5,28,1,0
32,EUW1_7521695265,133,234,893,15,25,143,106,238,29,80,0,0,2,2,20,1,1,1,7,35,1,0
33,EUW1_7521649441,27,121,105,63,267,17,234,245,145,43,0,0,2,2,23,1,1,2,9,35,1,0
34,EUW1_7519382234,75,143,101,21,555,420,56,38,804,902,3,1,5,13,39,0,0,2,6,30,0,1
35,EUW1_7519266266,887,59,7,222,111,36,107,99,21,54,1,1,3,11,31,0,0,0,2,12,0,1
36,EUW1_7519236498,24,113,134,523,40,82,56,711,202,432,0,1,3,7,31,1,0,1,10,44,1,0
37,EUW1_7519171921,238,20,777,51,99,516,517,910,901,412,0,1,0,5,48,0,0,4,7,55,1,0
38,EUW1_7517734506,126,111,143,18,16,122,80,711,145,201,1,1,4,11,35,0,0,0,0,29,0,1
39,EUW1_7517661409,36,246,50,145,166,799,59,30,51,902,1,1,0,4,12,0,0,4,7,27,1,0
40,EUW1_7516496211,9,62,103,221,432,136,78,34,42,235,0,0,1,3,25,0,1,2,4,34,1,0
41,EUW1_7567201402,43,777,16,27,122,103,83,102,429,29,0,0,0,0,47,0,0,0,0,0,0,1
42,EUW1_7534632450,68,59,55,51,98,86,17,112,29,412,1,1,4,10,46,0,0,0,1,19,0,1
43,EUW1_7532464744,875,2,5,21,89,48,876,157,29,25,0,1,2,9,42,0,0,1,4,19,0,1
44,EUW1_7530522516,58,106,3,51,16,62,91,893,29,99,1,1,3,11,41,0,0,1,2,29,0,1
45,EUW1_7530486753,266,11,90,145,16,518,77,777,222,497,0,0,1,0,17,0,1,2,9,35,1,0
46,EUW1_7530438965,6,63,777,157,37,31,246,84,51,99,0,1,3,8,37,0,0,0,1,14,0,1
47,EUW1_7530287278,517,9,99,895,111,10,59,238,29,117,0,1,2,11,33,0,0,0,2,10,0,1
48,EUW1_7530259235,82,141,517,29,223,23,203,245,81,3,0,0,0,4,23,1,1,4,12,32,1,0
49,EUW1_7530246697,266,36,777,29,16,75,141,893,96,26,0,0,2,0,18,0,1,1,11,39,1,0
50,EUW1_7529652378,875,141,142,51,26,133,517,1,29,101,1,1,2,8,48,0,0,4,6,36,0,1
51,EUW1_7528993067,233,234,45,67,412,6,32,157,29,25,0,1,2,11,41,1,0,2,4,44,0,1
52,EUW1_7528946913,126,131,142,157,29,54,5,84,222,60,1,0,0,2,31,0,1,4,9,40,1,0
53,EUW1_7528874728,875,106,7,235,555,10,141,61,29,143,0,1,3,8,49,2,0,3,12,39,1,0
54,EUW1_7528813189,78,20,901,222,117,82,59,55,29,267,0,0,1,3,23,0,1,2,9,39,1,0
55,EUW1_7528699553,75,59,7,81,35,24,48,84,29,223,1,1,4,10,37,0,0,0,3,24,0,1
56,EUW1_7526339829,36,950,127,29,99,6,245,161,42,526,0,0,2,11,37,0,0,0,0,13,0,1
57,EUW1_7526309545,23,91,38,145,22,24,154,85,222,526,0,0,1,2,13,1,1,3,10,31,1,0
58,EUW1_7526277114,887,19,777,910,526,122,106,99,67,902,0,0,0,0,10,0,1,1,9,32,1,0
59,EUW1_7525391659,133,254,55,29,161,164,64,38,18,117,0,1,1,3,18,1,0,3,8,42,1,0
60,EUW1_7525344251,82,200,236,222,80,86,64,38,29,350,1,0,3,7,32,0,1,1,8,39,1,0
61,EUW1_7497430560,516,11,3,429,888,799,32,90,221,35,0,0,1,0,34,0,1,4,9,49,1,0
62,EUW1_7497400496,14,876,61,67,43,799,75,3,145,412,0,1,1,5,26,0,0,0,0,11,0,1
63,EUW1_7497364016,887,200,61,236,43,14,11,134,901,60,0,1,2,9,30,0,0,0,0,8,0,1
